[39359.424, 6927883.669]
[36605.276, 6919296.042]
[51968.396, 6956663.707]
[52282.91, 6956065.244]
[55012.098, 6956139.953]
[45749.189, 6957718.628]
[47271.638, 6957503.8]
[47321.354, 6957424.918]
[55369.998, 6953334.133]
[36177.909, 6922420.368]
[133931.778, 7019178.316]
[134055.603, 7019069.878]
[134015.272, 7019177.666]
[148752.934, 7009033.868]
[152302.45, 7010041.02]
[124246.592, 6957473.991]
[81424.458, 6954192.001]
[36745.776, 6926507.541]
[105589.071, 6981303.234]
[103258.132, 6980739.269]
[100806.749, 6980560.677]
[124393.111, 6957726.784]
[115275.049, 6955678.994]
[117824.381, 6952668.508]
[94838.569, 6968512.94]
[94423.91, 6969260.806]
[94546.441, 6969123.211]
[94991.539, 6964453.598]
[125429.61, 6957109.702]
[126276.974, 6955383.916]
[111473.51, 6956917.456]
[111468.195, 6956827.615]
[111828.047, 6956413.691]
[114322.894, 6955784.565]
[111910.322, 6956307.934]
[116695.63, 6951758.967]
[117534.178, 6951664.063]
[117692.129, 6952041.219]
[99213.698, 6967694.052]
[102336.827, 6965977.741]
[104593.979, 6965681.966]
[104822.23, 6965503.504]
[55038.395, 6955987.206]
[55180.309, 6955356.159]
[138121.84, 7016816.62]
[138078.139, 7016756.783]
[137926.489, 7016564.908]
[137858.422, 7016476.969]
[137405.776, 7016031.715]
[137076.794, 7015708.738]
[137613.585, 7016234.601]
[137332.359, 7015953.4]
[136983.701, 7015637.432]
[135652.673, 7014815.804]
[135741.782, 7010440.362]
[169401.313, 7017658.582]
[165218.355, 7016808.547]
[164742.71, 7016733.593]
[164416.981, 7016683.373]
[163345.209, 7016513.197]
[163005.526, 7016454.771]
[163085.203, 7016462.482]
[162986.464, 7016458.527]
[162858.508, 7016473.605]
[162852.508, 7016413.785]
[163142.105, 7016160.046]
[35132.266, 6922662.275]
[158232.824, 7011245.423]
[159463.36, 7011502.419]
[158475.83, 7011189.425]
[44862.1, 6967919.994]
[42997.391, 6962314.144]
[36511.778, 6921793.993]
[36467.15, 6922504.454]
[36270.1, 6922479.741]
[36106.041, 6922330.44]
[35811.951, 6922221.08]
[35724.653, 6922211.825]
[35693.559, 6922271.656]
[35570.195, 6922289.472]
[35545.28, 6922307.951]
[35423.1, 6922409.6]
[35312.8, 6922431.697]
[35228.794, 6922466.87]
[176232.507, 7018140.747]
[173618.492, 7016620.609]
[173500.802, 7016578.818]
[173397.288, 7016597.323]
[176242.556, 7018387.914]
[174441.76, 7017785.096]
[172428.653, 7017363.818]
[172448.274, 7017519.064]
[80542.919, 6954477.63]
[80194.978, 6954530.103]
[79402.994, 6954538.61]
[79298.9, 6954577.481]
[78982.611, 6954676.254]
[78915.05, 6954685.07]
[78752.379, 6954704.945]
[78650.961, 6954717.353]
[77950.58, 6954661.109]
[77705.526, 6954680.109]
[77374.086, 6954675.63]
[75747.51, 6954501.489]
[74382.464, 6956247.119]
[70297.821, 6955757.502]
[69148.816, 6956531.578]
[52529.109, 6946015.039]
[52233.903, 6946100.3]
[49629.745, 6944936.574]
[49446.548, 6944835.426]
[49037.027, 6944785.762]
[48780.564, 6944778.293]
[48632.097, 6944793.198]
[42699.592, 6941955.693]
[41422.983, 6941346.898]
[39210.324, 6939840.962]
[38985.497, 6939723.498]
[38868.567, 6939670.396]
[38670.496, 6939580.798]
[38582.178, 6939540.199]
[38497.444, 6939501.346]
[32204.488, 6934640.805]
[32397.763, 6934602.783]
[32799.367, 6934464.28]
[33306.153, 6933725.372]
[33376.905, 6933538.969]
[33476.585, 6933387.758]
[33766.734, 6932417.925]
[35725.123, 6930065.948]
[38207.49, 6928844.496]
[38267.215, 6928824.362]
[38911.168, 6928545.339]
[39059.75, 6928428.905]
[39136.387, 6928363.696]
[39171.362, 6928334.338]
[39200.376, 6928309.46]
[39255.808, 6928263.158]
[39269.539, 6928252.378]
[39291.242, 6928177.237]
[39297.197, 6928143.377]
[39303.25, 6928109.9]
[39151.172, 6927513.954]
[39055.086, 6927362.39]
[39014.037, 6927275.026]
[38838.423, 6927011.384]
[38366.07, 6926883.33]
[38283.993, 6926879.215]
[37523.377, 6926733.188]
[37059.068, 6926604.938]
[34335.48, 6924993.346]
[34280.921, 6924854.989]
